translations.csv,delete_account_error.network_request_failed,delete_account_error.network_request_failed,"Internet connection problem.@:contact_to_support","气忿 ","Проблема с интернет соединением.@:contact_to_support"
translations.csv,delete_account_error.unknown,delete_account_error.unknown,"You may not be connected to the internet.@:contact_to_support",生气,"Возможно у вас нет соединения с интернетом.@:contact_to_support"
translations.csv,email_was_successfully_send_message.message,email_was_successfully_send_message.message,"An email has been sent to your email address with a link to reset your password.","狂怒 ","На твою почту отправлено письмо со ссылкой для сброса пароля."
translations.csv,email_was_successfully_send_message.action_button.title,email_was_successfully_send_message.action_button.title,Ok,"忧郁 ",Хорошо
translations.csv,notification.assess_mood.title,notification.assess_mood.title,"Assess your mood",难过,"Оцени своё настроение"
translations.csv,notification.assess_mood.subtitle,notification.assess_mood.subtitle,"Click to assess",悲伤,"Нажми для оценки"
translations.csv,popup.application_attitude,popup.application_attitude,"How do you like the application?",反感,"Как тебе приложение?"
translations.csv,popup.application_assessment_amount,popup.application_assessment_amount,"{sign} mood assessments have already been given!",无所谓,"Уже поставлено оценок: {sign}"
translations.csv,popup.hint_text,popup.hint_text,"Comment (optional)","Comment (optional)","Комментарий (необязательно)"
translations.csv,popup.button_text,popup.button_text,Send,不自信,Оценить
translations.csv,popup.thanks,popup.thanks,"Thank you!",自信,Спасибо!
translations.csv,popup.leave_review,popup.leave_review,"Leave a rating on {platform}?",好感,"Оставишь отзыв в {platform}?"
translations.csv,popup.no,popup.no,No,注意力,Нет
translations.csv,popup.yes,popup.yes,Okay,无聊,Хорошо
translations.csv,notion.review,notion.review,"You've been with us a long time","孤单 ","Вы с нами уже давно"
translations.csv,noion.subtitle,noion.subtitle,"How do you like the application?","How do you like the application?","Как вам приложение?"
translations.csv,update.title,update.title,"New update",兴奋,"Новое обновление!"
translations.csv,update.text,update.text,"Now you can create your own emotions",满意,"Теперь вы можете создавать свои эмоции"
translations.csv,popup.emotion_create,popup.emotion_create,"Creating emotion",惊讶,"Создание эмоций"
translations.csv,popup.try_to_create,popup.try_to_create,"Try to create your own emotions","Try to create your own emotions","Попробуйте создать свои эмоции"
translations.csv,popup.create_button,popup.create_button,"Create an emotion",酒,"Создать эмоцию"
translations.csv,popup.got_it,popup.got_it,"Got it",孤单,Понятно
translations.csv,user_emotion_title_screen.title.update,user_emotion_title_screen.title.update,"Change emotion",生气,"Изменение эмоции"
translations.csv,user_emotion_title_screen.title.create,user_emotion_title_screen.title.create,"New emotion","忧虑 ","Новая эмоция"
translations.csv,user_emotion_title_screen.input.hint_text,user_emotion_title_screen.input.hint_text,"Enter emotion name","漠不关心 ","Введите название эмоции"
translations.csv,user_emotion_select_emoji_screen.title,user_emotion_select_emoji_screen.title,"Emotion Icon",不好睡眠,"Иконка эмоции"
translations.csv,select_events_screen.subtitle.my_events,select_events_screen.subtitle.my_events,"My events",无聊,"Мои события"
translations.csv,user_emotion_title_screen.delete_popup.title,user_emotion_title_screen.delete_popup.title,"Delete emotion «{emotion}»","冲突 ","Удалить эмоцию «{emotion}»"
translations.csv,user_impact_screen.this_week,user_impact_screen.this_week,"This week",做饭,"Эта неделя"
translations.csv,user_impact_screen.week_ago,user_impact_screen.week_ago,"A week ago",游戏,"Одну неделю назад"
translations.csv,user_impact_screen.two_weeks_ago,user_impact_screen.two_weeks_ago,"Two weeks ago",好睡眠,"Две недели назад"
translations.csv,user_impact_screen.three_weeks_ago,user_impact_screen.three_weeks_ago,"Three weeks ago",好吃饭,"Три недели назад"
translations.csv,tester.access,tester.access,Tester,天气好,Тестировщик
translations.csv,calendar.update.popup.title,calendar.update.popup.title,Calendar,灵感,Календарь
translations.csv,calendar.update.popup.text,calendar.update.popup.text,"The new calendar makes it easier\nto view notes",高兴,"С новым календарем заметки стало просматривать удобнее"
translations.csv,calendar.update.notion.title,calendar.update.notion.title,"We have a new calendar!",吱歪,"У нас новый календарь!"
translations.csv,notion.survey.title,notion.survey.title,"Help us get better","冥想 ","Помогите нам стать лучше"
translations.csv,popup.survey.text.body,popup.survey.text.body,"We continue to develop our product. Please\ntake a Google Form survey to let us know what\nexactly is it that you need","头痛 ","Мы продолжаем развивать наш продукт.\nПройдите опрос в Google Form что бы\nмы лучше понимали, что нужно именно тебе."
translations.csv,popup.take_a_survey.button,popup.take_a_survey.button,"Take a survey",电影,"Пройти опрос"
translations.csv,popup.survey.title,popup.survey.title,Interview,音乐,Опрос
translations.csv,assessment.delete,assessment.delete,"Delete the assessment",下雨,"Удалить оценку"
translations.csv,assessment.settings,assessment.settings,Settings,休息,Настройки
translations.csv,appetite,appetite,Appetite,"生病 ",Аппетит
translations.csv,sleep,sleep,Sleep,运动,Сон
translations.csv,concentration,concentration,Concentration,放松,Концетрация
translations.csv,libido,libido,Libido,"甜食 ",Либидо
translations.csv,anxiety,anxiety,Anxiety,散步,Тревожность
translations.csv,procrastination,procrastination,Procrastination,晚起,Прокрастинация
translations.csv,workability,workability,Workability,工作,Работоспособность
translations.csv,migraine,migraine,Migraine,Migraine,Мигрень
translations.csv,stress,stress,Stress,"@:语言 中文",Стресс
translations.csv,self_attitude,self_attitude,"Self attitude",俄语,"Отношение к себе"
translations.csv,assessment.hours.of.sleep,assessment.hours.of.sleep,"Hours of sleep",英文,"Часов сна"
translations.csv,assessment.sleep_satisfaction,assessment.sleep_satisfaction,"sleep satisfaction",中文,"удовлетворенность сном"
translations.csv,slider.1,slider.1,Absent,Absent,Отсутствует
translations.csv,slider.2,slider.2,"Severely reduced","Severely reduced","Сильно снижена"
translations.csv,slider.3,slider.3,"Moderately reduced","Moderately reduced","Умеренно снижена"
translations.csv,slider.4,slider.4,Medium,Medium,Средняя
translations.csv,slider.5,slider.5,"Moderately increased","Moderately increased","Умеренно повышена"
translations.csv,slider.6,slider.6,"Strongly increased","Strongly increased","Сильно повышена"
translations.csv,slider.7,slider.7,Maximum,Maximum,Максимальная
translations.csv,assessment.value.remove,assessment.value.remove,Remove,Remove,Убрать
translations.csv,assessment.value.add,assessment.value.add,Add,Add,Добавить
translations.csv,libido.1,libido.1,@:slider.1,@:slider.1,@:slider.1
translations.csv,libido.2,libido.2,@:slider.2,@:slider.2,"Сильно снижено"
translations.csv,libido.3,libido.3,@:slider.3,@:slider.3,"Умеренно снижено"
translations.csv,libido.4,libido.4,@:slider.4,@:slider.4,Среднее
translations.csv,libido.5,libido.5,@:slider.5,@:slider.5,"Умеренно повышено"
translations.csv,libido.6,libido.6,@:slider.6,@:slider.6,"Сильно повышено"
translations.csv,libido.7,libido.7,@:slider.7,@:slider.7,Максимальное
translations.csv,procrastination.1,procrastination.1,@:slider.1,@:slider.1,Отсутствует
translations.csv,procrastination.2,procrastination.2,@:slider.2,@:slider.2,"Сильно снижена"
translations.csv,procrastination.3,procrastination.3,@:slider.3,@:slider.3,"Умеренно снижена"
translations.csv,procrastination.4,procrastination.4,@:slider.4,@:slider.4,Средняя
translations.csv,procrastination.5,procrastination.5,@:slider.5,@:slider.5,"Умеренно повышена"
translations.csv,procrastination.6,procrastination.6,@:slider.6,@:slider.6,"Сильно повышена"
translations.csv,procrastination.7,procrastination.7,@:slider.7,@:slider.7,Максимальная
translations.csv,appetite.1,appetite.1,@:slider.1,@:slider.1,Отсутствует
translations.csv,appetite.2,appetite.2,@:slider.2,@:slider.2,"Сильно снижен"
translations.csv,appetite.3,appetite.3,@:slider.3,@:slider.3,"Умеренно снижен"
translations.csv,appetite.4,appetite.4,@:slider.4,@:slider.4,Средний
translations.csv,appetite.5,appetite.5,@:slider.5,@:slider.5,"Умеренно повышен"
translations.csv,appetite.6,appetite.6,@:slider.6,@:slider.6,"Сильно повышен"
translations.csv,appetite.7,appetite.7,@:slider.7,@:slider.7,Максимальный
translations.csv,concentration.1,concentration.1,@:slider.1,@:slider.1,Отсутствует
translations.csv,concentration.2,concentration.2,@:slider.2,@:slider.2,"Сильно снижена"
translations.csv,concentration.3,concentration.3,@:slider.3,@:slider.3,"Умеренно снижена"
translations.csv,concentration.4,concentration.4,@:slider.4,@:slider.4,Средняя
translations.csv,concentration.5,concentration.5,@:slider.5,@:slider.5,"Умеренно повышена"
translations.csv,concentration.6,concentration.6,@:slider.6,@:slider.6,"Сильно повышена"
translations.csv,concentration.7,concentration.7,@:slider.7,@:slider.7,Максимальная
translations.csv,stress.1,stress.1,@:slider.1,@:slider.1,Отсутствует
translations.csv,stress.2,stress.2,@:slider.2,@:slider.2,"Сильно снижен"
translations.csv,stress.3,stress.3,@:slider.3,@:slider.3,"Умеренно снижен"
translations.csv,stress.4,stress.4,@:slider.4,@:slider.4,Средний
translations.csv,stress.5,stress.5,@:slider.5,@:slider.5,"Умеренно повышен"
translations.csv,stress.6,stress.6,@:slider.6,@:slider.6,"Сильно повышен"
translations.csv,stress.7,stress.7,@:slider.7,@:slider.7,Максимальный
translations.csv,beta_tester.notion.title,beta_tester.notion.title,"Take part in testing","Take part in testing","Примите участие\nв тестировании"
translations.csv,beta_tester.popup.title,beta_tester.popup.title,"Test new features","Test new features","Тест нового функционала"
translations.csv,beta_tester.popup.body,beta_tester.popup.body,"You have already given {} ratings.\nWe are testing new features and invite you\nto take part in testing. You will receive the latest updates and help us get better.","You have already given {} ratings.\nWe are testing new features and invite you\nto take part in testing. You will receive the latest updates and help us get better.","Уже поставлена оценок: {}.\nМы тестируем новый функционал и\nпредлагаем тебе принять участие в\nтестировании. Ты будешь получать самые\nпоследние обновления и поможешь нам\nстать лучше."
translations.csv,beta_tester.popup.skip,beta_tester.popup.skip,Refuse,Refuse,Отказаться
translations.csv,beta_tester.popup.get,beta_tester.popup.get,"Become a tester","Become a tester","Стать тестером"
translations.csv,become.notion.title,become.notion.title,"Hooray! You are a beta tester","Hooray! You are a beta tester","Ура! Теперь ты-тестировщик"
translations.csv,become.popup.title,become.popup.title,Hooray!,Hooray!,Ура!
translations.csv,become.popup.body,become.popup.body,"You are now a tester! We have\nnew features for you.","You are now a tester! We have\nnew features for you.","Теперь ты-тестировщик! У нас для тебя новый функционал"
translations.csv,become.popup.button,become.popup.button,"What features?","What features?",Какой?
translations.csv,track.notion.title,track.notion.title,"Track even more","Track even more","Трэкать ещё больше"
translations.csv,track.popup.title,track.popup.title,More,More,Больше
translations.csv,track.popup.body,track.popup.body,"We've added even more scales that\nyou can customize. Scales\ncan be added and removed\non the mood selection screen.","We've added even more scales that\nyou can customize. Scales\ncan be added and removed\non the mood selection screen.","Мы добавили ешё больше шкал, которые\nты можешь настроить под себя. Шкалы\nможно добавлять и убирать на экране с\nвыбором настроения."
translations.csv,track.popup.button,track.popup.button,"See scales","See scales","Посмотреть шкалы"
default_events_v2.csv,dancing,dancing,Dancing,跳舞,Танцы
default_events_v2.csv,alcohol,alcohol,Alcohol,酒,Алкоголь
default_events_v2.csv,allergy,allergy,Allergy,过敏,Аллергия
default_events_v2.csv,bath,bath,Bath,澡盆,Ванна
default_events_v2.csv,bicycle,bicycle,Bicycle,自信车,Велосипед
default_events_v2.csv,breakfast,breakfast,Breakfast,早饭,Завтрак
default_events_v2.csv,bustle,bustle,Bustle,忙乱,Суета
default_events_v2.csv,cleaning,cleaning,Cleaning,打扫,Уборка
default_events_v2.csv,club,club,Club,夜总会,Клуб
default_events_v2.csv,cold,cold,Cold,冷,"Холодная погода"
default_events_v2.csv,communication,communication,Communication,聊天,Общение
default_events_v2.csv,date,date,Date,约会,Свидание
default_events_v2.csv,diet_food,diet_food,"Diet food",减肥食物,"Диетическая еда"
default_events_v2.csv,dinner,dinner,Dinner,晚饭,Ужин
default_events_v2.csv,energy_drink,energy_drink,"Energy drink",能量饮料,Энергетик
default_events_v2.csv,family,family,Family,家庭,Семья
default_events_v2.csv,fast_food,fast_food,"Fast Food",快餐,Фастфуд
default_events_v2.csv,fatty_food,fatty_food,"Fatty food",油腻食物,"Жирная еда"
default_events_v2.csv,fiesta,fiesta,Siesta,午睡,"Дневной сон"
default_events_v2.csv,football,football,Football,足球,Футбол
default_events_v2.csv,fresh_air,fresh_air,"Fresh air",新鲜空气,"Свежий воздух"
default_events_v2.csv,fruit,fruit,Fruit,水果,Фрукты
default_events_v2.csv,glass_of_water,glass_of_water,"Glass of water",杯水,"Стакан воды"
default_events_v2.csv,good_weather,good_weather,"Good weather",天气好,"Хорошая погода"
default_events_v2.csv,guests,guests,Guests,客人,Гости
default_events_v2.csv,gym,gym,Gym,健身室,"Тренажерный зал"
default_events_v2.csv,gymnastic,gymnastic,Gymnastic,体操,Гимнастика
default_events_v2.csv,had_a_bite,had_a_bite,"Had a bite",吃点东西,Перекусил
default_events_v2.csv,hot,hot,Hot,热,Жарко
default_events_v2.csv,insomnia,insomnia,Insomnia,失眠,Бессонница
default_events_v2.csv,jog,jog,Jog,跑步,Пробежка
default_events_v2.csv,laziness,laziness,Laziness,懒,Лень
default_events_v2.csv,light_food,light_food,"Light food",小吃,"Легкая еда"
default_events_v2.csv,lunch,lunch,Lunch,中饭,Обед
default_events_v2.csv,massage,massage,Massage,按摩,Массаж
default_events_v2.csv,meditation,meditation,Meditation,禅修,Медитация
default_events_v2.csv,meeting,meeting,Meeting,约会,Встреча
default_events_v2.csv,meeting_with_friends,meeting_with_friends,"Meeting with friends",与朋友会面,"Встреча с друзьями"
default_events_v2.csv,messenger,messenger,Messenger,聊天工具,Мессенджер
default_events_v2.csv,movie,movie,Movie,电视,Фильм
default_events_v2.csv,news,news,News,消息,Новости
default_events_v2.csv,nightmare,nightmare,Nightmare,恶梦,"Страшный сон"
default_events_v2.csv,painting,painting,Painting,画画,Рисование
default_events_v2.csv,panic_attack,panic_attack,"Panic attack",惊恐发作,"Паническая атака"
default_events_v2.csv,party,party,Party,蹦迪,Тусовка
default_events_v2.csv,phone,phone,Phone,手机,Телефон
default_events_v2.csv,prayer,prayer,Prayer,祈祷,Молитва
default_events_v2.csv,procrastination,procrastination,Procrastination,拖延症,Прокрастинация
default_events_v2.csv,psychiatrist,psychiatrist,Psychiatrist,精神病医师,Психиатр
default_events_v2.csv,psychologist,psychologist,Psychologist,心理学家,Психолог
default_events_v2.csv,quarrels,quarrels,Quarrels,吵架,Ссоры
default_events_v2.csv,rain,rain,Rain,下雨,Дождь
default_events_v2.csv,road,road,Road,道路,Дорога
default_events_v2.csv,self_care,self_care,"Self care",自己护理,"Уход за собой"
default_events_v2.csv,shopping,shopping,Shopping,购物,Шоппинг
default_events_v2.csv,shower,shower,Shower,洗澡,Душ
default_events_v2.csv,sigarettes,sigarettes,Sigarettes,烟,Сигареты
default_events_v2.csv,sleepiness,sleepiness,Sleepiness,困倦,Сонливость
default_events_v2.csv,snow,snow,Snow,下雪,Снег
default_events_v2.csv,social_media,social_media,"Social media",社交媒体,"Социальные сети"
default_events_v2.csv,study,study,Study,学习,Учеба
default_events_v2.csv,swimming_pool,swimming_pool,"Swimming pool",游泳池,Бассейн
default_events_v2.csv,tea,tea,Tea,茶,Чай
default_events_v2.csv,tik_tok,tik_tok,"Tik Tok",抖音,"Тик Ток"
default_events_v2.csv,tv_series,tv_series,"TV series",电视剧,Сериал
default_events_v2.csv,vegetables,vegetables,Vegetables,蔬菜,Овощи
default_events_v2.csv,warm_up,warm_up,Warm-up,早操,Зарядка
default_events_v2.csv,went_to_bed_early,went_to_bed_early,"Went to bed early",早睡,"Рано лег"
default_events_v2.csv,went_to_bed_late,went_to_bed_late,"Went to bed late",晚睡,"Поздно лег"
default_events_v2.csv,woke_up_early,woke_up_early,"Woke up early",早起,"Рано проснулся"
default_events_v2.csv,workout,workout,Workout,运动,Тренировка
default_events_v2.csv,yoga,yoga,Yoga,瑜伽,Йога
default_events_v2.csv,youtube,youtube,Youtube,油土鳖,Ютуб
